,station_code,capacity,station_name,latitude,longitude
350,11019,32.0,Charonne - Philippe-Auguste,48.855603162026,2.39054639062
351,11020,53.0,Belfort - Voltaire,48.8563358,2.3829901
352,11021,23.0,Charonne - Pierre Bayle,48.858445054262,2.3903981223891
353,11022,16.0,Roquette - Auguste Laurent,48.85800190602336,2.381797702650783
354,11023,46.0,Saint-Maur - Roquette,48.85868877406296,2.383553994571467
355,11024,51.0,Mairie du 11ème,48.858925,2.3789759
356,11025,43.0,Froment - Bréguet,48.8570414504784,2.37289470306807
357,11026,45.0,Chemin Vert - Saint-Maur,48.86112461407359,2.381299026310444
358,11027,38.0,Saint-Ambroise - Parmentier,48.862147844548,2.3772348091006
359,11028,38.0,Guillaume Bertrand - République,48.863825174341,2.380906377155
360,11029,40.0,Ménilmontant - Oberkampf,48.866617658681,2.3830134404158
361,11030,24.0,Oberkampf - République,48.86531608707,2.37611478491
362,11031,39.0,Jacquard - Ternaux,48.8646605,2.373162
363,11032,48.0,Jean-Pierre Timbaud - Vaucouleurs,48.867937,2.377885
364,11033,33.0,Bréguet - Sabin,48.856931678257,2.3706749462105
365,11034,48.0,Parmentier - Fontaine au Roi,48.86787670551736,2.372705978671471
366,11035,52.0,Parmentier - Abel Rabaud,48.86921273836114,2.371688821240712
367,11036,58.0,Jules Ferry - Faubourg du Temple Paris,48.868397,2.3678933
368,11037,38.0,Faubourg Du Temple - Republique,48.867872484749,2.3648982158072
369,11038,44.0,Temple - Charlot,48.865709343796,2.3652737250724
370,11039,36.0,Richard Lenoir - Jean-Pierre Timbaud,48.865804276686,2.3693370749669
